"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"산들애펜션(민박)",민박,내국인,,대전광역시 서구 장안로 573(장안동),대전광역시 서구 장안동 354-5(장안동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"장태산 몽블랑",민박,내국인,,대전광역시 서구 안터길 155(산직동),대전광역시 서구 산직동 538(산직동),042-111-1111,5,,Y,현금,,장태산자연휴양림,,,2019-05-17
"장태산휴펜션",민박,내국인,,대전광역시 서구 장안로 573-1(장안동),대전광역시 서구 장안동 354-8(장안동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"장태산 산너울 펜션,민박",민박,내국인,,대전광역시 서구 안터길 147(산직동),대전광역시 서구 산직동 536-2(산직동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"산그림",민박,내국인,,대전광역시 서구 장안로 713(장안동),대전광역시 서구 장안동 222-1(장안동),042-111-1111,1,,Y,현금,,장태산자연휴양림,,,2019-05-17
"아리랑스테이",민박,내국인,,대전광역시 서구 장안로 364(장안동),대전광역시 서구 장안동 287-8(장안동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"노랑펜션",민박,내국인,,대전광역시 서구 안터길 131-2(산직동),대전광역시 서구 산직동 535-2(산직동),042-111-1111,3,,Y,현금,,장태산자연휴양림,,,2019-05-17
"개나리펜션",민박,내국인,,대전광역시 서구 안터길 131(산직동),대전광역시 서구 산직동 535(산직동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"진달래펜션",민박,내국인,,대전광역시 서구 안터길 131-1(산직동),대전광역시 서구 산직동 535-1(산직동),042-111-1111,2,,Y,현금,,장태산자연휴양림,,,2019-05-17
"들꽃펜션",민박,내국인,,대전광역시 서구 안터길 7-20(산직동),대전광역시 서구 산직동 459(산직동),042-111-1111,3,,Y,현금,,장태산자연휴양림,,,2019-05-17
"아임하우스",민박,내국인,,대전광역시 서구 장안로 570 주2동(장안동),대전광역시 서구 장안동 339-7 주2동(장안동),042-111-1111,1,,Y,현금,,장태산자연휴양림,,,2019-05-17
